name,url,value,club_name,country_league,dob_and_age,birth_place,citizenship,height,postion,current_international,caps/goals,foot,age,former_international,national_player,agent
Yunus Musah,/yunus-musah/profil/spieler/503991,€18.00m,AC Milan,ITA,"Nov 29, 2002 (20)","New York City, New ...",United States,"1,78 m",Central Midfield,USA,28 / 0,right,20,,,
Tijjani Reijnders,/tijjani-reijnders/profil/spieler/460939,€14.00m,AC Milan,ITA,"Jul 29, 1998 (25)",Zwolle,Netherlands,"1,85 m",Central Midfield,Netherlands,Jan-00,right,25,,,
Tommaso Pobega,/tommaso-pobega/profil/spieler/392538,€14.00m,AC Milan,ITA,"Jul 15, 1999 (24)",Trieste,Italy,"1,88 m",Central Midfield,,Mar-00,na,24,,Italy,
Rade Krunic,/rade-krunic/profil/spieler/259953,€10.00m,AC Milan,ITA,"Oct 7, 1993 (29)",Foča,Bosnia-Herzegovina,"1,84 m",Central Midfield,Bosnia,30 / 4,right,29,,,
Yacine Adli,/yacine-adli/profil/spieler/395236,€8.00m,AC Milan,ITA,"Jul 29, 2000 (23)",Vitry-sur-Seine,France,"1,86 m",Attacking Midfield,,1-May,right,23,France U20,,
Rafael Leão,/rafael-leao/profil/spieler/357164,€90.00m,AC Milan,ITA,"Jun 10, 1999 (24)",Almada,Portugal,"1,88 m",Left Winger,Portugal,20 / 3,right,24,,,
Chaka Traorè,/chaka-traore/profil/spieler/700998,€500k,AC Milan,ITA,"Dec 23, 2004 (18)",Attecoube,Cote d'Ivoire,"1,75 m",Left Winger,,0 / 0,right,18,Ivory Coast U23,,
Christian Pulisic,/christian-pulisic/profil/spieler/315779,€25.00m,AC Milan,ITA,"Sep 18, 1998 (24)","Hershey, ...",United States,"1,77 m",Right Winger,USA,61 / 26,right,24,,,
Samuel Chukwueze,/samuel-chukwueze/profil/spieler/401922,€25.00m,AC Milan,ITA,"May 22, 1999 (24)",Umahaia,Nigeria,"1,72 m",Right Winger,Nigeria,28 / 4,left,24,,,
Luka Romero,/luka-romero/profil/spieler/769063,€3.00m,AC Milan,ITA,"Nov 18, 2004 (18)",Victoria de Durango,Argentina,"1,65 m",Right Winger,Argentina U20,Feb-00,left,18,,,
Noah Okafor,/noah-okafor/profil/spieler/346890,€20.00m,AC Milan,ITA,"May 24, 2000 (23)",Binningen,Switzerland,"1,85 m",Centre-Forward,Switzerland,14 / 2,right,23,,,Sports360 GmbH
Luka Jovic,/luka-jovic/profil/spieler/257462,€8.00m,AC Milan,ITA,"Dec 23, 1997 (25)",Bijeljina,Serbia,"1,82 m",Centre-Forward,Serbia,31 / 10,na,25,,,
Olivier Giroud,/olivier-giroud/profil/spieler/82442,€4.00m,AC Milan,ITA,"Sep 30, 1986 (36)",Chambéry,France,"1,92 m",Centre-Forward,France,125 / 54,left,36,,,
Emil Audero,/emil-audero/profil/spieler/256339,€6.00m,Inter Milan,ITA,"Jan 18, 1997 (26)",Mataram,Italy,"1,92 m",Goalkeeper,,Oct-00,right,26,Italy U21,,
Yann Sommer,/yann-sommer/profil/spieler/42205,€5.00m,Inter Milan,ITA,"Dec 17, 1988 (34)",Morges,Switzerland,"1,83 m",Goalkeeper,Switzerland,83 / 0,right,34,,,
Raffaele Di Gennaro,/raffaele-di-gennaro/profil/spieler/70580,€350k,Inter Milan,ITA,"Oct 3, 1993 (29)",Saronno,Italy,"1,88 m",Goalkeeper,,Mar-00,right,29,Italy U20,,
Alessandro Bastoni,/alessandro-bastoni/profil/spieler/315853,€60.00m,Inter Milan,ITA,"Apr 13, 1999 (24)",Casalmaggiore,Italy,"1,90 m",Centre-Back,Italy,17 / 1,left,24,,,
Benjamin Pavard,/benjamin-pavard/profil/spieler/353366,€40.00m,Inter Milan,ITA,"Mar 28, 1996 (27)",Maubeuge,France,"1,86 m",Centre-Back,France,50 / 3,right,27,,,
